Denier,Changeable Heel,Flare Potential,Shoe Warranty,Handle Type,Ball Quality,Bag Warranty,Bag Style,Brunswick Product Line,Fragrance,Particle Load,Performance,Roto Grip Product Line,Durometer,Viz Style,Changeable Sole,Mass Bias Diff,Finish,Storm Product Line,Brand,Ball Color,Bag Size,RG,Perfect Scale,Factory Finish,Release Date,Core Type,Laces/Easy Strap,Shoe Mfg Part #,Ball Sports League,Gender,Differential,Product ID,OTB Style,Bag Mfg Part #,Ball Warranty,name,Shoe Size Capacity,Coverstock,url,Core Name,Holds Shoes,Lane Condition,Breakpoint Shape,Shoe Color,Bowling Hand (Shoes),Coverstock Name,Bag Color
,,,,,First Quality,,,,,,Polyester[0],,,,,,Polished,,Pyramid,Orange/Black,,,5.0,,08/03/2011,,,,,,,9288,,,2 Year,Pyramid Path Orange/Black Basic Drilling for Only $9.99,,Plastic,https://www.bowlingball.com/products/bowling-balls/pyramid/9288/path-orangeblack-basic-drilling-for-only-999.html,,,Dry,,,,,
,,High,,,First Quality,,,,,,Pro Performance[10],,,,,.019,Matte,,Pyramid,Black,,2.53,233.40,2000 grit Abralon,08/24/2016,Asymmetric,,,,,0.051,12544,,,2 Year,Pyramid Force NEW ITEM,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/pyramid/12544/force-new-item.html,SG Precessional Asymmetric,,Heavy,Amazing Continuation,,,GPS Navigational Solid,
,,Medium,,,First Quality,,,,,,Performance[4],,,,,,,,Pyramid,Black/Silver Pearl,,2.54,181.3,1500 Grit Abralon/Factory Polish,10/25/2013,Symmetric,,,,,0.032,11026,,,2 Year,Pyramid Path Rising Black/Silver Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/pyramid/11026/path-rising-blacksilver-pearl.html,New Era 139,,Medium-Dry,Length/Controlled Backend,,,Path Reactive,
,,,,,First Quality,,,,,,Advanced Performance[6],,,,,,Polished,,Pyramid,Yellow/Black/White,,2.55,201.60,2000 Grit Abralon/Factory Finish Polish,08/24/2016,Symmetric,,,,,.054,12546,,,2 Year,Pyramid Antidote NEW ITEM,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/pyramid/12546/antidote-new-item.html,New Era 149 Symmetric,,Medium-Heavy,Controllable,,,GPS Navigational Solid,
,,"5 - 6"" (High)",,,First Quality,,,,Boysenberry,,Advanced Performance[6],,74-76 Rex D-Scale,,,,Polished,Thunder,Storm,Black/Ultramarine Blue,,2.570,173.8,1500-grit Polish,11/17/2008,Symmetric,,,,,0.046,6811,,,1 Year,Storm Hy-Road,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/storm/6811/hy-road.html,Inverted Fe² Technology,,Medium-Heavy,,,,R2S Hybrid,
,,"6""+ (High)",,,First Quality,,,,,,Pro Performance[10],,76 on D-Scale,,,0.015,Polished,,Pyramid,Crimson Fire,,2.52,229.10,2000 Grit Abralon/Factory Polish,11/11/2015,Asymmetric,,,,,0.043,11988,,,2 Year,Pyramid Chosen One,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/pyramid/11988/chosen-one.html,SG 19.5 Asymmetric,,Medium-Heavy,Controlled Angularity,,,XF Gravitational Hybrid,
,,"5-6"" (High)",,,First Quality,,,,Aromatherapy - Citrus,,Pro Performance[10],,,,,,Polished,Signature,Storm,Blue Solid/Platinum & Black Pearls,,2.57,227.2,1500 Grit Polished,02/14/2017,Symmetric,,,,,0.050,13141,,,1 Year,Storm Timeless,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/storm/13141/timeless.html,"Dual-Drive (14-16#), Centripetal (12-13#)",,Medium-Heavy,Predictable Angularity w/ Max Continuation,,,R2S Hybrid,
,,High,,,First Quality,,,,,,Pro Performance[10],,,,,0.016,Polished,,Ebonite,Blue/Bronze/Red,,2.48,230.5,500/1000 Abralon w/Powerhouse Factory Finish Polish,03/07/2017,Asymmetric,,,,,0.056,13136,,,1 Year,Ebonite Maverick Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/ebonite/13136/maverick-pearl.html,Maverick,,Medium-Heavy,Strong Continuous Hook,,,GB 14.0 Pearl,
,,High,,,First Quality,,,,,,Pro Performance[10],,,,,,Polished,,Hammer,Green/Smoke/Gold,,2.48,231.9,500/1000 Abralon w/Powerhouse Factory Finish Polish,10/18/2016,Symmetric,,,,,0.054,13026,,,3 Year,Hammer Scandal Pearl 12 14 16 Only,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/hammer/13026/scandal-pearl-12-14-16-only.html,Scandal,,Medium-Heavy,Skid/Flip,,,Semtex Pearl CFI,
,,,,,First Quality,,,,,,High Performance[8],,,,,0.001,Polished,,DV8,Pink/Silver,,2.568 - 2.516,198.4,500 Siaair / Royal Compound / Royal Shine,01/23/2014,Symmetric,,,,,0.052,11332,,,2 Year,DV8 Diva Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/dv8/11332/diva-pearl.html,Diva,,Medium,,,,Class 5F Pearl Reactive,
,,Medium,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Pyramid,Blue/Dark Blue Pearl,,2.54,181.3,1500 Grit Abralon/Factory Polish,11/11/2015,Symmetric,,,,,0.032,11986,,,2 Year,Pyramid Path Rising Blue/Dark Blue Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/pyramid/11986/path-rising-bluedark-blue-pearl.html,New Era 139,,Medium-Dry,Length/Controlled Backend,,,Path Reactive,
,,"2-4"" (Medium)",,,First Quality,,,,Blueberry Tart,,Entry Performance[2],,74-76 Rex D-scale,,,,Polished,Tropical,Storm,White/Blue,,2.57,118.5,1500-Grit Polished,4/19/2016,Symmetric,,,,,0.009,12473,,,1 Year,Storm Tropical Storm White/Blue Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/storm/12473/tropical-storm-whiteblue-pearl.html,Camber,,Medium-Dry,,,,Reactor Pearl,
,,High,,,First Quality,,,,Cinnamon,,Pro Performance[10],,73-75 Rex D-Scale,,,0.020,Polished,Premier,Storm,Red Pearl/Red Solid,,2.50,234.9,1500 Grit Polished,06/16/2017,Asymmetric,,,,,0.058,13339,,,1 Year,Storm Code Red,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/storm/13339/code-red.html,RAD4 Asymmetric,,Heavy,Mid-Lane Read & Control,,,R2S Hybrid Reactive,
,,Medium,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Pyramid,Purple/Steel Blue,,2.54,181.3,1500 Grit Abralon/Factory Polish,10/25/2013,Symmetric,,,,,0.032,11028,,,2 Year,Pyramid Path Rising Purple/Steel Blue Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/pyramid/11028/path-rising-purplesteel-blue-pearl.html,New Era 139,,Medium-Dry,Length/Controlled Backend,,,Path Reactive,
,,Medium,,,First Quality,,,,,,Performance[4],,,,,,,,Pyramid,Black/Hot Pink Pearl,,2.54,181.3,1500 Grit Abralon/Factory Polish,10/25/2013,Symmetric,,,,,0.032,11027,,,2 Year,Pyramid Path Rising Black/Hot Pink Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/pyramid/11027/path-rising-blackhot-pink-pearl.html,New Era 139,,Medium-Dry,Length/Controlled Backend,,,Path Reactive,
,,Medium-Low,,,First Quality,,,,,,Performance[4],,,,,,Sanded,,Hammer,Burgundy,,2.57,128.7,"500, 500 Abralon",11/18/2014,Symmetric,,,,,0.032,11797,,,3 Year,Hammer Burgundy Hammer,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/hammer/11797/burgundy-hammer.html,Modified Vibe,,Medium-Heavy,"Early, Strong Roll",,,Reacta-Thane,
,,"6"" Plus (High)",,,First Quality,,,,Wildberry Cheesecake,,Pro Performance[10],,73-75 Rex D-Scale,,,0.017,Matte,Premier,Storm,Black/Turquoise/Violet,,2.50,232.9,2000-Grit Abralon,03/01/2016,Asymmetric,,,,,0.052,12451,,,1 Year,Storm Alpha Crux,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/storm/12451/alpha-crux.html,Catalyst,,Heavy,Unbelievable Hook,,,GI-16 Solid Reactive,
,,High,,,First Quality,,,,,,High Performance[8],,,,,0.013,Polished,,Ebonite,Black,,2.49,228.9,500/1000 Abralon Polished w/Powerhouse Factory Finish Polish,09/20/2016,Asymmetric,,,,,0.050,12899,,,1 Year,Ebonite Mission Unknown 1 Gold 6 Red Left Out Of 36,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/ebonite/12899/mission-unknown-1-gold-7-red-left-out-of-42.html,Mission 1.0,,Medium-Heavy,Length with Angular Backend,,,GB 12.7,
,,"4-5"" (Medium)",,,First Quality,,,,,,Advanced Performance[6],HP2,,,,,Matte,,Roto Grip,Gold & White Pearl/Black Solid,,2.55,183.9,3000 Grit,08/02/2016,Symmetric,,,,,0.042,12812,,,1 Year,Roto Grip Wreck-It,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/roto-grip/12812/wreck-it.html,Neutron,,Medium,Strong and Smooth,,,Psyched Hybrid,
,,"1-2"" (Low)",,,First Quality,,,,,,Polyester[0],,73-75 Rex D-Scale,,,,Polished,Ice,Storm,Blue/White,,2.71,5.0,3500-Grit Polished,11/22/2016,Symmetric,,,,,0.005,13072,,,1 Year,Storm Ice Storm Blue/White,,Plastic,https://www.bowlingball.com/products/bowling-balls/storm/13072/ice-storm-bluewhite.html,Traditional 3-Piece,,Dry,Straight,,,Polyester Pearl,
,,,,,First Quality,,,,,,Polyester[0],,,,,,Polished,,Pyramid,Blue/Black/White,,,5.0,,08/04/2011,,,,,,,9289,,,2 Year,Pyramid Path Blue/Black/White,,Plastic,https://www.bowlingball.com/products/bowling-balls/pyramid/9289/path-blueblackwhite.html,,,Dry,,,,,
,,,,,First Quality,,,,,,Polyester[0],,,,,,Polished,,Pyramid,Black/Silver,,,5.0,,09/18/2014,,,,,,,11552,,,2 Year,Pyramid Path Black/Silver,,Plastic,https://www.bowlingball.com/products/bowling-balls/pyramid/11552/path-blacksilver.html,,,Dry,,,,,
,,,,,First Quality,,,,,,Polyester[0],,,,,,Polished,,Pyramid,Pink/Purple/Silver,,,5.0,,11/17/2011,,,,,,,10016,,,2 Year,Pyramid Path Pink/Purple/Silver,,Plastic,https://www.bowlingball.com/products/bowling-balls/pyramid/10016/path-pinkpurplesilver.html,,,Dry,,,,,
,,2” (Medium-Low),,,First Quality,,,,,,Performance[4],,72-74 Rex D-scale,,,,Sanded,Thunder,Storm,Pitch Black,,2.57,138.8,1000 Grit,05/27/2014,Symmetric,,,,,0.022,11375,,,1 Year,Storm Pitch Black,,Urethane,https://www.bowlingball.com/products/bowling-balls/storm/11375/pitch-black.html,Capacitor,,Dry,Mid-lane Control,,,Controll Solid Urethane,
,,Medium,,,First Quality,,,,,,Performance[4],,,,,,Matte,,Hammer,Blue,,2.57,124.1,800/1000/2000/4000 Abralon,08/01/2011,Symmetric,,,,,.032,9485,,,1 Year,Hammer Blue Hammer,,Urethane,https://www.bowlingball.com/products/bowling-balls/hammer/9485/blue-hammer.html,Modified Vibe Core,,Dry,Smooth,,,Performance Urethane,
,,Medium-Low,,,First Quality,,,,,,Performance[4],,,,,,Matte,,Motiv,Burgundy Solid,,2.55,165.4,3000 Grit LSS (Laser Scan Sanded),5/31/2017,Symmetric,,,,,0.020,13327,,,1 Year,Motiv Tank Rampage,,Urethane,https://www.bowlingball.com/products/bowling-balls/motiv/13327/tank-rampage.html,Gear V2,,Medium,Smooth,,,Alchemy,
,,,,,First Quality,,,,,,Polyester[0],,,,,,Polished,,Pyramid,Pink/Black,,,5.0,,08/04/2011,,,,,,,9290,,,2 Year,Pyramid Path Pink/Black,,Plastic,https://www.bowlingball.com/products/bowling-balls/pyramid/9290/path-pinkblack.html,,,Dry,,,,,
,,"4-5"" (Medium)",,,First Quality,,,,,,Advanced Performance[6],HP2,73-75 on D-Scale,,,,Polished,,Roto Grip,Red/Purple/White,,2.55,181.7,1500 Grit Polished,01/10/2017,Symmetric,,,,,0.042,13110,,,1 Year,Roto Grip Wreck-Em,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/roto-grip/13110/wreck-em.html,Neutron,,Medium-Dry,Length,,,Pumped Pearl,
,,,,,First Quality,,,,,,Polyester[0],,,,,,Polished,,Pyramid,Hot Pink/Lime Green,,,5.00,,10/12/2012,,,,,,,10601,,,2 Year,Pyramid Path Hot Pink/Lime Green,,Plastic,https://www.bowlingball.com/products/bowling-balls/pyramid/10601/path-hot-pinklime-green.html,,,Dry,,,,,
,,Medium,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Hammer,Cherry Red,,2.51,TBD,500/2000 Abralon w/ Factory Finish Polish,06/20/2017,Symmetric,,,,,0.042,13393,,,3 Year,Hammer Cherry Vibe,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/hammer/13393/cherry-vibe.html,Vibe,,Medium-Dry,Length w/ Angular Backend,,,CT Reactive Pearl,
,,High,,,First Quality,,,,,,Polyester[0],,,,,0.013,Polished,,Hammer,Orange/Black Pearl,,2.48,50.0,800/1000/2000 Abralon w/ Factory Finish Polish,07/05/2016,Asymmetric,,,,,0.058,12640,,,1 Year,Hammer Black Widow Spare,,Plastic,https://www.bowlingball.com/products/bowling-balls/hammer/12640/black-widow-spare.html,Gas Mask,,Dry,Straight,,,Polyester,
,,Medium,,,First Quality,,,,,,Advanced Performance[6],,,,,,Matte,,Hammer,Black/Red/Orange,,2.51,TBD,500/2000 Abralon,06/20/2017,Symmetric,,,,,0.046,13394,,,3 Year,Hammer Diesel,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/hammer/13394/diesel.html,Diesel,,Medium-Heavy,Strong Roll and Backend,,,NBT Hybrid,
,,High,,,First Quality,,,,Orange Chocolate,,Pro Performance[10],,,,,0.020,Polished,Premier,Storm,Black/Charcoal/Silver,,2.50,233.1,1500 Grit Polished,11/22/2016,Asymmetric,,,,,0.058,13066,,,1 Year,Storm Code Black,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/storm/13066/code-black.html,RAD4 Asymmetric,,Heavy,Skid/Flip,,,R2S Pearl Reactive,
,,5” - 6” (High),,,First Quality,,,,Grape Punch,,Advanced Performance[6],,74-76 Rex D-scale,,,,Polished,Thunder,Storm,Blue/Purple,,2.57,188.6,1500-Grit Polished,07/16/2013,Symmetric,,,,,0.046,10835,,,1 Year,Storm Hy-Road Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/storm/10835/hy-road-pearl.html,Inverted Fe² Technology,,Medium,,,,R2S Pearl Reactive,
,,,,,First Quality,,,,,,Polyester[0],,,,,,Polished,,Pyramid,Aqua Blue/Silver,,,5.0,,10/25/2016,,,,,,,12549,,,2 Year,Pyramid Path Aqua/Silver NEW ITEM,,Plastic,https://www.bowlingball.com/products/bowling-balls/pyramid/12549/path-aquasilver-new-item.html,,,Dry,,,,,
,,,,,First Quality,,,,,,Polyester[0],,,,,,Polished,,Pyramid,Emerald Green/Lime Green/Acid Yellow,,,5.0,,10/12/2012,,,,,,,10600,,,2 Year,Pyramid Path Emerald/Lime/Acid Yellow Add Basic Drilling For Only $9.99,,Plastic,https://www.bowlingball.com/products/bowling-balls/pyramid/10600/path-emeraldlimeacid-yellow-add-basic-drilling-for-only-999.html,,,Dry,,,,,
,,High,,,First Quality,,,,,,Pro Performance[10],HP4,73-75 on D-Scale,,,0.018,Polished,,Roto Grip,Onyx/Neon Green/Silver,,2.51,229.8,1500 Grit Polished,01/10/2017,Asymmetric,,,,,0.053,13109,,,1 Year,Roto Grip No Rules Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/roto-grip/13109/no-rules-pearl.html,Chaotic,,Medium-Heavy,Skid/Flip,,,Amped Pearl,
,,"5-6"" (High)",,,First Quality,,,,,,High Performance[8],,,,,,Polished,,Pyramid,Blue/Sky Blue,,2.53,207.80,2000 Grit Abralon/Factory Finish Polish,11/11/2015,Symmetric,,,,,0.050,11989,,,2 Year,Pyramid Blueprint Pearl Project 1.618,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/pyramid/11989/blueprint-pearl-project-1618.html,SG 19.5 Symmetric,,Medium-Heavy,Skid/Flip,,,GPS Navigational Pearl,
,,"Medium (3-4"")",,,First Quality,,,,,,Advanced Performance[6],,,,,,Polished,,Pyramid,Orange Pearl,,2.54,199.80,2000 Grit Abralon/Factory Finish Polish,2/3/17,Symmetric,,,,,0.032,12542,,,2 Year,Pyramid Pathogen/Pathogen X Combo,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/pyramid/13100/pathogenpathogen-x-combo.html,New Era 139,,Medium,Skid/Flip,,,GPS Navigational Pearl,
600D,No,,2 Year,,First Quality,2 Year,Non Roller,,,,Polyester[0],,,,No,,Polished,,Pyramid,Black/Silver,Single,,5.0,,12/27/2011,,Laces,,,Men,,9448,,,2 Year,Pyramid Path BUILD YOUR OWN Ball/Bag/Shoe Combo,Size 16,Plastic,https://www.bowlingball.com/products/bowling-bags/pyramid/9939/path-build-your-own-ballbagshoe-combo.html,,Yes,Dry,,Black/White,Universal,,Black/Black
,,,,,First Quality,,,Polyester,,,Polyester[0],,,,,,High Polish,,Brunswick,Indigo Swirl,,2.715,5.0,,05/20/2010,Symmetric,,,,,.019,8453,,,1 Year,Brunswick T Zone Indigo Swirl Blue/Black/White,,Plastic,https://www.bowlingball.com/products/bowling-balls/brunswick/8453/t-zone-indigo-swirl-blueblackwhite.html,,,Dry,,,,,
,,"7""+",,,First Quality,,,,,,Pro Performance[10],,,,,0.015,Matte,,Motiv,Purple/Black,,2.47,230.1,3000 Grit LSS,1/18/2017,Asymmetric,,,,,0.054,13133,,,1 Year,Motiv Jackal Ghost,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/motiv/13133/jackal-ghost.html,Predator V2,,Heavy,Early Hook on Heavy Oil,,,Coercion HFS Solid,
,,Low,,,First Quality,,,,,,Polyester[0],,,,,,Polished,,Ebonite,Cool Water,,,5.0,,,,,,,,,13348,,,1 Year,Ebonite Magnum Cool Water Ltd Only,,Plastic,https://www.bowlingball.com/products/bowling-balls/ebonite/13348/magnum-cool-water.html,,,Dry,,,,,
,,Low,,,First Quality,,,,,,Polyester[0],,,,,,Polished,,Ebonite,Black/Blue,,,5.0,,,,,,,,,13352,,,1 Year,Ebonite Zoom Black/Blue Pre-Drilled,,Plastic,https://www.bowlingball.com/products/bowling-balls/ebonite/13352/zoom-blackblue-pre-drilled.html,,,Dry,,,,,
,,,,,First Quality,,,Polyester,,,Polyester[0],,,,,,High Polish,,Brunswick,Patriot Blaze,,2.715,5.0,,05/20/2010,Symmetric,,,,,.019,8457,,,1 Year,Brunswick T Zone Patriot Blaze,,Plastic,https://www.bowlingball.com/products/bowling-balls/brunswick/8457/t-zone-patriot-blaze.html,,,Dry,,,,,
,,,,,First Quality,,,,,,Polyester[0],,,,,,Polished,,Pyramid,Acid Lime/Melon Orange/Purple,,,5.0,,04/18/2013,,,,,,,10787,,,2 Year,Pyramid Path Acid Lime/Melon/Purple,,Plastic,https://www.bowlingball.com/products/bowling-balls/pyramid/10787/path-acid-limemelonpurple.html,,,Dry,,,,,
,,"2-3"" (Medium-Low)",,,First Quality,,,,,,Performance[4],,74-76 Rex D-Scale,,,,Matte,Thunder,Storm,Blue Pearl,,2.57,140.6,2000-Grit Abralon,03/01/2016,Symmetric,,,,,0.022,12449,,,1 Year,Storm Pitch Blue,,Urethane,https://www.bowlingball.com/products/bowling-balls/storm/12449/pitch-blue.html,Capacitor,,Medium-Dry,Controlled Angularity,,,Controll Plus Pearl,
,,Medium-High,,,First Quality,,,,,,High Performance[8],,,,,,Polished,,Hammer,Smoke/Blue/Bronze,,2.49,214.1,500/1000 Abralon w/Powerhouse Factory Finish Polish,1/10/2017,Symmetric,,,,,0.054,13120,,,3 Year,Hammer Phobia,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/hammer/13120/phobia.html,Phobia,,Medium-Heavy,,,,Semtex Pearl,
,,"5-6"" (Med-High)",,,First Quality,,,,Aromatherapy - Score,,High Performance[8],,74-76 Rex D-Scale,,,,Polished,Master,Storm,Silver/Deep Purple/Maroon,,2.48,214.3,1500 Grit Polish,07/14/2017,Symmetric,,,,,0.050,9524,,,1 Year,Storm Marvel Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/storm/9524/marvel-pearl.html,Centripetal Core,,Medium-Heavy,Length & Forgiveness,,,R2X Pearl Reactive,
,,Low,,,First Quality,,,,,,Polyester[0],,,,,,Polished,,Ebonite,Red/Purple/Blue,,,5.0,,,,,,,,,13351,,,1 Year,Ebonite Magnum Red/Purple/Blue 8 12 Only,,Plastic,https://www.bowlingball.com/products/bowling-balls/ebonite/13351/magnum-redpurpleblue.html,,,Dry,,,,,
,,"4-5""",,,First Quality,,,,,,Advanced Performance[6],,,,,0.008,Polished,,900 Global,Gold Pearl,,2.57,TBD,1500-Grit Polished,07/07/2017,Asymmetric,,,,,0.041,13378,,,1 Year,900 Global Honey Badger,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/900-global/13378/honey-badger.html,Grapnel,,Medium,Controlled Angularity,,,S71 Pearl,
,,"6""+ (Medium-High)",,,First Quality,,,,,,High Performance[8],HP3,73-75,,,,Sanded,,Roto Grip,Navy/Peach/Sky Blue,,2.50,194.30,2000-Grit Pad,08/11/2015,Symmetric,,,,,0.043,12203,,,1 Year,Roto Grip Haywire,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/roto-grip/12203/haywire.html,Middle Roll 70,,Heavy,Benchmark,,,80H MicroBite,
,,Low,,,First Quality,,,,,,Polyester[0],,,,,,Polished,,Motiv,Lime Pearl/Orange Pearl,,2.68,5.0,5500 Grit LSP,06/01/2017,Symmetric,,,,,0.010,13331,,,1 Year,Motiv Hyper Sniper,,Plastic,https://www.bowlingball.com/products/bowling-balls/motiv/13331/hyper-sniper.html,Hollow-Point,,Dry,,,,TruShot Polythane,
,,"2-4"" (Medium)",,,First Quality,,,,Cherry,,Entry Performance[2],,74-76 Rex D-Scale,,,,Polished,Tropical,Storm,Black Solid/Cherry Pearl,,2.57,118.5,1500 Grit Polished,05/22/2012,Symmetric,,,,,0.009,10245,,,1 Year,Storm Tropical Breeze Hybrid Black/Cherry,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/storm/10245/tropical-breeze-hybrid-blackcherry.html,Camber,,Medium-Dry,,,,Reactor Hybrid,
